English,Spanish,MP3
Hello.,Hola.,001.mp3
Good morning/day.,Buenos días.,002.mp3
Good afternoon.,Buenas tardes.,003.mp3
Good evening/night.,Buenas noches.,004.mp3
Welcome.,Bienvenido.,005.mp3
Come in.,Adelante.,006.mp3
Pleased to meet you.,Es un placer.,007.mp3
Nice to meet you.,Mucho gusto.,008.mp3
The pleasure is mine.,El gusto es mío.,009.mp3
What’s your name?,¿Cómo se llama?,010.mp3
My name is…,Mi nombre es…,011.mp3
Where are you from?,¿De dónde eres?,012.mp3
I’m from…,Soy de…,013.mp3
Let me introduce you to…,Le presento a…,014.mp3
How are you?,¿Cómo estás?,015.mp3
How’s it going?,¿Cómo te va?,016.mp3
"Fine, thank you.","Bien, gracias.",017.mp3
"Very well, thank you.","Muy bien, gracias.",018.mp3
So-so.,Más o menos.,019.mp3
Very bad.,Muy mal.,020.mp3
And yourself?,¿Y usted?,021.mp3
What’s new?,¿Qué hay de nuevo?,022.mp3
I don’t know.,No sé.,023.mp3
Nothing.,Nada.,024.mp3
Good-bye.,Adiós.,025.mp3
See you later.,Nos vemos.,026.mp3
See you soon.,Hasta pronto.,027.mp3
See you tomorrow.,Hasta mañana.,028.mp3
Until we meet again.,Hasta la vista.,029.mp3
When will we meet again?,¿Cuándo nos volveremos a ver?,030.mp3
Hopefully it won’t be long.,Ojalá no pase mucho tiempo.,031.mp3
Have a nice day.,Que te vaya bien.,032.mp3
I hope you had a good time.,Espero que se hayan divertido.,033.mp3
I had a good time.,La pasé bien.,034.mp3
I had a very good time.,La pasé muy bien.,035.mp3
Come back soon!,¡Regresen pronto!,036.mp3
Good luck.,Buena suerte.,037.mp3
Take care.,Cuídate.,038.mp3
